,driver_id,charge_path
37,3728d37ad1-dd54-4b97-9aba-9db6b64e5d76,"[0.67073567 0.67073567 0.67073567 0.67073567 0.67073567 0.67073567
 0.67073567 0.67073567 0.67073567 0.67073567 0.68333333 0.8
 0.78504668 0.78504668 0.78366491 0.78366491 0.76606278 0.76606278
 0.76314525 0.74317917 0.72380577 0.71217115 0.68357493 0.68063049]"
38,381e899588-7510-48cb-8f06-0bc063de9770,"[0.71359378 0.71359378 0.71359378 0.71359378 0.71359378 0.71359378
 0.71359378 0.71359378 0.71359378 0.71359378 0.71359378 0.71359378
 0.71359378 0.8        0.75994968 0.75540571 0.73343506 0.73343506
 0.7287603  0.72389864 0.7041627  0.68037705 0.67136983 0.65365423]"
39,390b25a45b-0df4-4b84-b57d-1664dc0553df,"[0.69310806 0.69310806 0.69310806 0.69310806 0.69310806 0.69310806
 0.69310806 0.69310806 0.69310806 0.69310806 0.69310806 0.69310806
 0.69310806 0.69310806 0.69310806 0.69310806 0.8        0.8
 0.77803909 0.7448201  0.7448201  0.7448201  0.74108295 0.74108295]"
40,400383856e-e213-40c5-93f6-d46463f54b5d,"[0.58894269 0.58894269 0.58894269 0.58894269 0.58894269 0.58894269
 0.58894269 0.58894269 0.58894269 0.68333333 0.8        0.77082673
 0.76393005 0.75736799 0.72586086 0.69994306 0.69994306 0.69994306
 0.69574168 0.66392217 0.63571322 0.62929283 0.62929283 0.57478687]"
41,410ee71fc2-1342-4a24-a642-85391ba484ea,"[0.70512428 0.70512428 0.70512428 0.70512428 0.70512428 0.70512428
 0.70512428 0.70512428 0.70512428 0.70512428 0.8        0.79590811
 0.79590811 0.75052351 0.72687802 0.72582803 0.7166132  0.71507925
 0.70279622 0.66582826 0.66582826 0.65390724 0.65390724 0.65390724]"
42,426cd31ae9-48d3-4fd3-a887-bebd9ba572cd,"[0.71374801 0.71374801 0.71374801 0.71374801 0.71374801 0.71374801
 0.71374801 0.71374801 0.71374801 0.71374801 0.8        0.8
 0.77590336 0.77590336 0.77590336 0.77590336 0.75497062 0.74048781
 0.72883694 0.72883694 0.72883694 0.72883694 0.72883694 0.72094745]"
43,43569201bc-7385-4e23-a5ee-bf05f669db0c,"[0.6238265  0.6238265  0.6238265  0.6238265  0.6238265  0.6238265
 0.6238265  0.6238265  0.6238265  0.6238265  0.6238265  0.6238265
 0.6238265  0.6238265  0.6238265  0.6238265  0.68333333 0.8
 0.8        0.8        0.8        0.8        0.77705704 0.77183515]"
44,449d4f0539-d467-4777-b2ec-03ad8f9cd733,"[0.66756442 0.66756442 0.66756442 0.66756442 0.66756442 0.66756442
 0.66756442 0.66756442 0.66756442 0.66756442 0.66756442 0.66756442
 0.66756442 0.68333333 0.8        0.8        0.76187457 0.72119978
 0.72119978 0.68107731 0.62518982 0.62518982 0.594923   0.594923  ]"
45,45a6449062-50b7-44e9-91b9-b0e055fb0218,"[0.65666319 0.65666319 0.65666319 0.65666319 0.65666319 0.65666319
 0.65666319 0.65666319 0.65666319 0.65666319 0.65666319 0.68333333
 0.8        0.77224575 0.76474649 0.72937721 0.71598918 0.66404949
 0.63023502 0.63023502 0.62976188 0.62976188 0.62976188 0.58775465]"
46,46bb45a3a9-4b78-47d5-94d3-d0e7e7f5240c,"[0.67407135 0.67407135 0.67407135 0.67407135 0.67407135 0.67407135
 0.67407135 0.67407135 0.67407135 0.67407135 0.67407135 0.67407135
 0.68333333 0.8        0.77389616 0.75846021 0.75846021 0.75846021
 0.70337301 0.70337301 0.70337301 0.69099582 0.68306279 0.68306279]"
47,476f4c6327-4072-4fac-af18-42863a9b3967,"[0.7390534  0.7390534  0.7390534  0.7390534  0.7390534  0.7390534
 0.7390534  0.7390534  0.7390534  0.7390534  0.7390534  0.7390534
 0.7390534  0.7390534  0.8        0.8        0.79659405 0.74411875
 0.72999392 0.67144749 0.64232146 0.61779807 0.55927767 0.55147448]"
